Column 1,Column 2,Column 3,Column 4,Column 5,Column 6
20000,80261.85,3686.39,80346.47,48000,2.63
21000,80370.2,3837.94,80461.78,48000,2.73
22000,80485.24,4078.91,80588.53,48000,2.9
23000,80682.57,4197.84,80791.7,48000,2.98
24000,80865.58,4343.2,80982.12,48000,3.07
25000,81042.82,4489.53,81167.08,48000,3.17
26000,81233.57,4625.97,81365.18,48000,3.26
27000,81380.5,4714.56,81516.94,48000,3.32
28000,81636.72,4856.64,81781.06,48000,3.4
29000,81831.55,4759.29,81969.83,48000,3.33
30000,81917.09,5113.48,82076.54,48000,3.57
31000,82145.08,5174.76,82307.91,48000,3.6
32000,82359.13,5235.1,82525.35,48000,3.64
33000,82481.9,5313.6,82652.88,48000,3.69
34000,82605.94,5332.05,82777.84,48000,3.69
35000,82832.22,5382.89,83006.94,48000,3.72
36000,82999.21,5520.84,83182.62,48000,3.81
37000,83186.72,5490.14,83367.69,48000,3.78
38000,83357.58,5574.02,83543.74,48000,3.83
39000,83520.35,5629.04,83709.83,48000,3.86
40000,83676.16,5621.31,83864.76,48000,3.84
41000,83860.48,5612.01,84048.05,48000,3.83
42000,83997.24,5611.28,84184.45,48000,3.82
43000,84188.63,5712.17,84382.2,48000,3.88
44000,84318.4,5707.98,84511.38,48000,3.87
45000,84487.24,5687.62,84678.47,48000,3.85
46000,84579.93,5726.66,84773.58,48000,3.87
47000,84736.24,5698.3,84927.62,48000,3.85
48000,84864,5721.79,85056.67,48000,3.86
49000,85028.17,5696.81,85218.8,48000,3.83
50000,85284.12,5560.67,85465.22,48000,3.73
51000,85683.35,5750.28,85876.08,48000,3.84
52000,85439.3,5569.89,85620.66,48000,3.73
53000,85557.63,5705.43,85747.66,48000,3.82
54000,85682.67,5620.23,85866.8,48000,3.75
55000,85834.76,5600.26,86017.26,48000,3.73
56000,85927.7,5645.74,86112.98,48000,3.76
57000,86097.36,5584.21,86278.26,48000,3.71
58000,86253.68,5510.41,86429.52,48000,3.66
59000,86262.98,5519.82,86439.41,48000,3.66
60000,86422.17,5517.19,86598.1,48000,3.65
61000,86566.02,5421.58,86735.63,48000,3.58
62000,86693.17,5482.84,86866.38,48000,3.62
63000,86752.86,5425.53,86922.35,48000,3.58
64000,86845.79,5405.56,87013.85,48000,3.56
65000,87034.61,5322.23,87197.19,48000,3.5
66000,87150.75,5291.33,87311.24,48000,3.47
67000,87197.87,5333.51,87360.83,48000,3.5
68000,87353.24,5244.29,87510.52,48000,3.44
69000,87388.12,5333.32,87550.72,48000,3.49
70000,87510.44,5138.21,87661.16,48000,3.36
71000,87646.74,5160.57,87798.54,48000,3.37
72000,87710.12,5080.39,87857.14,48000,3.32
73000,87857.22,5140.08,88007.45,48000,3.35
74000,87980.46,5031.23,88124.2,48000,3.27
75000,88005.88,4947.35,88144.83,48000,3.22
76000,88099,5012.4,88241.48,48000,3.26
77000,88165.91,4918.3,88302.98,48000,3.19
78000,88330.52,4870.16,88464.68,48000,3.16
79000,88364.45,4841.65,88496.99,48000,3.14
80000,88516.2,4802.53,88646.38,48000,3.11